Property Type,Check-in,Check-out,Name,Price,Score,Average Review,Reviews Count,Location,Image URL,Image Path
home,2025-09-17,2025-09-19,The Radiant Residence Phase 3 Bahria Town,US$325,Scored 8.2,,,Rawalpindi,https://cf.bstatic.com/xdata/images/hotel/square240/668808475.webp?k=a6736b10a1ad2230c206888ca08419da9cbe99cba43c04fa831c821f888a9f51&o=,images_home\The_Radiant_Residence_Phase_3_Bahria_Town_2025-09-17.jpg
home,2025-09-17,2025-09-19,UNA Services - Margalla Retreat,US$357,Scored 9.8,,,Islamabad,https://cf.bstatic.com/xdata/images/hotel/square240/621171270.webp?k=17a89602162bd5403fdb5ccb11f52591df5db835204ca0a319ae5c29556ff238&o=,images_home\UNA_Services_-_Margalla_Retreat_2025-09-17.jpg
home,2025-09-17,2025-09-19,House in Lahore,US$92,Scored 9.0,,,Lahore,https://cf.bstatic.com/xdata/images/hotel/square240/551565733.webp?k=d4a8ff9b0ddbff14561ac9a141c87e78a94ef5501db852437fb1cc347df210ac&o=,images_home\House_in_Lahore_2025-09-17.jpg
home,2025-09-17,2025-09-19,Mount Vista Resort,US$159,Scored 6.6,,,Murree,https://cf.bstatic.com/xdata/images/hotel/square240/724829823.webp?k=25ac49ad8eedeb964328a6b48cd1857d30fc18448a35d15149f4ddf5a6d6c455&o=,images_home\Mount_Vista_Resort_2025-09-17.jpg
home,2025-09-17,2025-09-19,Family Guest House Islamabad,US$108,Scored 9.5,,,"E-11 Sector, Islamabad",https://cf.bstatic.com/xdata/images/hotel/square240/645881230.webp?k=613064a4f08ac3a74d360fdbe6596de42ca2d793b7841789ab6a3e5b55fc19e7&o=,images_home\Family_Guest_House_Islamabad_2025-09-17.jpg
home,2025-09-17,2025-09-19,Skylark Lodge Bahria Town Lahore,US$99,Scored 9.7,,,Lahore,https://cf.bstatic.com/xdata/images/hotel/square240/632850582.webp?k=77be4c0d9fbaa0d30dbdc452de8ff3ff70ef532fd48fe21d829141d7c979903d&o=,images_home\Skylark_Lodge_Bahria_Town_Lahore_2025-09-17.jpg
home,2025-09-17,2025-09-19,Haven Lodge - 7BR Luxury Vacation Home with Mountain View,US$336,Scored 7.9,,,Islamabad,https://cf.bstatic.com/xdata/images/hotel/square240/606329309.webp?k=f976b94cffdd59b6259d9258b0d8066965124f116bfec5f1e6dbcdd92ed054ec&o=,images_home\Haven_Lodge_-_7BR_Luxury_Vacation_Home_with_Mountain_View_2025-09-17.jpg
home,2025-09-17,2025-09-19,Families Only! Eagle Nest Cottage Muzaffarabad by LMC,US$275,Scored 7.1,,,Muzaffarabad,https://cf.bstatic.com/xdata/images/hotel/square240/433882311.webp?k=1bf82cd01f27cb220352de1fb873d8699cbcddae887c1c722cb06520981a7af6&o=,images_home\Families_Only__Eagle_Nest_Cottage_Muzaffarabad_by_LMC_2025-09-17.jpg
home,2025-09-17,2025-09-19,Emaar Apartments - 1 2 3 4 Bedroom & Vacation Villa DHA at Gold Crest Mall & Residency,US$189,Scored 5.2,,,Lahore,https://cf.bstatic.com/xdata/images/hotel/square240/726952541.webp?k=a3e394e4a1bdb320032bf9eb76616865afbe4d24258121c7a11934988637d718&o=,images_home\Emaar_Apartments_-_1_2_3_4_Bedroom___Vacation_Villa_DHA_at_Gold_Crest_Mall___Residency_2025-09-17.jpg
home,2025-09-17,2025-09-19,Opulent 5-BHK Entire House in Bahria Town Phase 3,US$327,Scored 9.9,,,Rawalpindi,https://cf.bstatic.com/xdata/images/hotel/square240/642743104.webp?k=4740323c522a6c47ecc1270e3d5bcfc8642824b102909c93b3946d93738421b2&o=,images_home\Opulent_5-BHK_Entire_House_in_Bahria_Town_Phase_3_2025-09-17.jpg
