Property Type,Check-in,Check-out,Name,Price,Score,Average Review,Reviews Count,Location,Image URL,Image Path
hotel,2026-03-10,2026-03-12,Infinity Hotel,US$42,Scored 8.1,,,"Gulberg, Lahore",https://cf.bstatic.com/xdata/images/hotel/square240/704713035.webp?k=e3022b63b750b22d96caf956655ffbb91201e0f4ae6c87111847d55c7c2acd69&o=,images_hotel\Infinity_Hotel_2026-03-10.jpg
hotel,2026-03-10,2026-03-12,Hotel Rose Inn Lahore,US$32,Scored 8.5,,,"Johar Town, Lahore",https://cf.bstatic.com/xdata/images/hotel/square240/408937518.webp?k=c8e1214c9df6d0c137be3c63a29baee0d450232fecc8eb43a03959530013aade&o=,images_hotel\Hotel_Rose_Inn_Lahore_2026-03-10.jpg
hotel,2026-03-10,2026-03-12,Reina Boutique Hotel - G9,US$46,Scored 8.3,,,"G-9 Sector, Islamabad",https://cf.bstatic.com/xdata/images/hotel/square240/181729468.webp?k=6a1671b692139b79412f3345b4c904eb87140d3d878f3db23924865dc18b1b7e&o=,images_hotel\Reina_Boutique_Hotel_-_G9_2026-03-10.jpg
hotel,2026-03-10,2026-03-12,Boutiqueinn Ayubia,US$53,Scored 6.6,,,Ayubia,https://cf.bstatic.com/xdata/images/hotel/square240/328452590.webp?k=1f5effeab157f15a402f7a3c9151b0b3441d67a5375129a3589e564dd26e7e93&o=,images_hotel\Boutiqueinn_Ayubia_2026-03-10.jpg
hotel,2026-03-10,2026-03-12,Premier Inn Grand Gulberg Lahore,US$63,Scored 8.9,,,"Gulberg, Lahore",https://cf.bstatic.com/xdata/images/hotel/square240/565907235.webp?k=d88e753c49dbcf31e149f8dbaade09786fa56fb4af3549f4ad3d85794d3f452a&o=,images_hotel\Premier_Inn_Grand_Gulberg_Lahore_2026-03-10.jpg
hotel,2026-03-10,2026-03-12,Hotel Crown Lahore,US$48,Scored 8.2,,,"Johar Town, Lahore",https://cf.bstatic.com/xdata/images/hotel/square240/562868930.webp?k=f5464864268147b4c52bc3c0d781deaf9a427a8730c106845da563de87f6a1f1&o=,images_hotel\Hotel_Crown_Lahore_2026-03-10.jpg
hotel,2026-03-10,2026-03-12,"Rose Palace Hotel, Gulberg",US$65,Scored 7.9,,,"Gulberg, Lahore",https://cf.bstatic.com/xdata/images/hotel/square240/323415402.webp?k=18297cdd16b137d8c855bce7bf6043d728b179f50691c7cf791c128ded0d202f&o=,images_hotel\Rose_Palace_Hotel__Gulberg_2026-03-10.jpg
hotel,2026-03-10,2026-03-12,Luxury Apartment Rentals,US$135,Scored 6.3,,,"E-11 Sector, Islamabad",https://cf.bstatic.com/xdata/images/hotel/square240/536066131.webp?k=e1385940fdca25e5ae28b7d74269faf17a2b108de0d526425ffee5493638a080&o=,images_hotel\Luxury_Apartment_Rentals_2026-03-10.jpg
hotel,2026-03-10,2026-03-12,"Rose Palace Hotel, Garden Town",US$57,Scored 7.5,,,Lahore,https://cf.bstatic.com/xdata/images/hotel/square240/130666464.webp?k=a9fc4870da8c870c607a9a2b1fcb10c948253b866476c84fcaf734c8d29182b3&o=,images_hotel\Rose_Palace_Hotel__Garden_Town_2026-03-10.jpg
hotel,2026-03-10,2026-03-12,Hotel Seven 7,US$61,Scored 7.9,,,"Bath Island, Karachi",https://cf.bstatic.com/xdata/images/hotel/square240/333054666.webp?k=92d67e017140dafc8c73ee238d20a612b669aac65755105d16f6fb7e090f6706&o=,images_hotel\Hotel_Seven_7_2026-03-10.jpg
