City,Property Type,Name,Price,Rating,Reviews Count,Location,Image URL,Image Path
Skardu,hotel,Hispar Hotel Skardu,,Scored 9.0,9,Skardu,https://cf.bstatic.com/xdata/images/hotel/square240/688909939.webp?k=7d90a41af39f4cb98e89188de6e906d0a43130d518c9c7ff2f898ce0af7226dd&o=,images_hotel\Hispar_Hotel_Skardu.jpg
Skardu,hotel,Skardu Saraye Hotel & Resort,,Scored 9.4,9,Skardu,https://cf.bstatic.com/xdata/images/hotel/square240/548753418.webp?k=cf7420e0b5d658836960621ed2aeb8f0650770337e8a7144607f96eb62354a69&o=,images_hotel\Skardu_Saraye_Hotel___Resort.jpg
Skardu,hotel,Hotel Dewanekhas Skardu,,Scored 9.2,9,Skardu,https://cf.bstatic.com/xdata/images/hotel/square240/692811245.webp?k=d7ff923ca7196740d4528143b09424070f8da909fda1ae0d783ef131df863d88&o=,images_hotel\Hotel_Dewanekhas_Skardu.jpg
Skardu,hotel,Highlander inn Skardu,,Scored 9.1,9,Skardu,https://cf.bstatic.com/xdata/images/hotel/square240/724179293.webp?k=ccd176171203cceda169a17c628036cd12cb79baf99413950f57587615da012d&o=,images_hotel\Highlander_inn_Skardu.jpg
Skardu,hotel,Hotel Saspolo skardu,,Scored 8.2,8,Skardu,https://cf.bstatic.com/xdata/images/hotel/square240/468777189.webp?k=da0751e997228039ecebba282b5fec3ff7a288826f34cec4949a69a4805bb709&o=,images_hotel\Hotel_Saspolo_skardu.jpg
Skardu,hotel,Signature Skardu Hotel,,Scored 7.4,7,Skardu,https://cf.bstatic.com/xdata/images/hotel/square240/570372797.webp?k=04cbe0e42008dee1116c559bc13aef25cc60174d3e77aa29523f379e049301be&o=,images_hotel\Signature_Skardu_Hotel.jpg
Khaplu,hotel,North Palace Khaplu,,Scored 9.2,9,Khaplu,https://cf.bstatic.com/xdata/images/hotel/square240/581956645.webp?k=97806407593a79d9b6a3a26419ea1268fe0ed044ae4ddf080eebc0762757797e&o=,images_hotel\North_Palace_Khaplu.jpg
Khaplu,hotel,Destination Hotel Khaplu,,Scored 7.0,7,Khaplu,https://cf.bstatic.com/xdata/images/hotel/square240/575914521.webp?k=1061353d3305ce76b0dbe1798dcff700951d329aae837cbd4f72f4723bceec38&o=,images_hotel\Destination_Hotel_Khaplu.jpg
Khaplu,hotel,Serena Khaplu Palace,,Scored 8.5,8,Khaplu,https://cf.bstatic.com/xdata/images/hotel/square240/183204557.webp?k=797a5dc01f14b716fc78484390367c5264f9af39ad6b7e7b76d1bf0e8a5ca584&o=,images_hotel\Serena_Khaplu_Palace.jpg
Khaplu,hotel,Royal cottages,,Scored 10,10,Khaplu,https://cf.bstatic.com/xdata/images/hotel/square240/689128959.webp?k=82329a89eff444190fd9a328d061ef4a60fc8397c057c3c43effd243945b44dc&o=,images_hotel\Royal_cottages.jpg
Khaplu,hotel,Khaplu Inn Hotel and restaurant,,Scored 8.5,8,Khaplu,https://cf.bstatic.com/xdata/images/hotel/square240/723381478.webp?k=d1d29a4de4d1b4f56689950c5ad0da8034d8e2f9e6ebbd34502d1489b5f05322&o=,images_hotel\Khaplu_Inn_Hotel_and_restaurant.jpg
Khaplu,hotel,Villaggio Khaplu,,,,Khaplu,https://cf.bstatic.com/xdata/images/hotel/square240/709002774.webp?k=ac811777af81e67b6c3dacd11873024c0f6a5bc1434dceeb0613be97d3c093d7&o=,images_hotel\Villaggio_Khaplu.jpg
Khaplu,hotel,Karakoram Lodge Khaplu,,,,Khaplu,https://cf.bstatic.com/xdata/images/hotel/square240/682538452.webp?k=2b0174ec6e28b5f9499d56e377226611fb7a67a1908f29659c249276e86e9127&o=,images_hotel\Karakoram_Lodge_Khaplu.jpg
Khaplu,hotel,Ghanche In,,,,Khaplu,https://cf.bstatic.com/xdata/images/hotel/square240/689952907.webp?k=18523bc7b2cf528d49acb9cc3ee88918a600fd084e06d3d59c07bbc838dc62f3&o=,images_hotel\Ghanche_In.jpg
Khaplu,hotel,K6 Hotel & Camping Kande,,,,Kande,https://cf.bstatic.com/xdata/images/hotel/square240/702616814.webp?k=18cb14302cc56fec6d7e5483f64a8d49bd0eebd6d590106a0818472182cd0853&o=,images_hotel\K6_Hotel___Camping_Kande.jpg
Khaplu,hotel,Areshman Organic Guest House & Hotel,,,,Kuru,https://cf.bstatic.com/xdata/images/hotel/square240/676628248.webp?k=c2cf2d9f3b8f8384ddfd738bd2a384d99d44c6b316ff31ba748c62020b72b51a&o=,images_hotel\Areshman_Organic_Guest_House___Hotel.jpg
Khaplu,hotel,Sentiments Hotel,,,,Gwali,https://cf.bstatic.com/xdata/images/hotel/square240/711412920.webp?k=4eb0ba917b39ad2c22a5a5a27e18534ab68cb4fbcf4f0980b1e0fb44308d0544&o=,images_hotel\Sentiments_Hotel.jpg
