Property Type,Check-in,Check-out,Name,Price,Score,Average Review,Reviews Count,Location,Image URL,Image Path
apartment,2025-09-17,2025-09-19,Galiyaat View By AlFateh Hotel,US$32,,7.3,Good,Murree,https://cf.bstatic.com/xdata/images/hotel/square240/714778740.webp?k=e6397600924d1d9b0898ebc26a43615f5726b017b4a2b05a9e59663a282948da&o=,images_apartment\Galiyaat_View_By_AlFateh_Hotel_2025-09-17.jpg
apartment,2025-11-05,2025-11-07,Hill Town Guest House Islamabad,US$71,,9.2,Superb,"E-11 Sector, Islamabad",https://cf.bstatic.com/xdata/images/hotel/square240/698640742.webp?k=7b1de07c0afbe5cb120cc4c0686e94e38e32dffe13026bf3a62e760fd880b31a&o=,images_apartment\Hill_Town_Guest_House_Islamabad_2025-11-05.jpg
apartment,2025-11-05,2025-11-07,Deluxe Three bedroom apartment with Terrace,US$177,,,,Islamabad,https://cf.bstatic.com/xdata/images/hotel/square240/576623861.webp?k=b5eac0208500954a21a78e7d46e5ec0b22139837f52c77f7e59be28329b976a5&o=,images_apartment\Deluxe_Three_bedroom_apartment_with_Terrace_2025-11-05.jpg
apartment,2025-11-05,2025-11-07,Executive 2BHK Apt in Elysium tower Isb,US$227,,6.6,Review,"Blue Area, Islamabad",https://cf.bstatic.com/xdata/images/hotel/square240/545425422.webp?k=19add27802ccf171ea6f9c32cdc8df0776b334db6dfe8d451a7aeded9c86019e&o=,images_apartment\Executive_2BHK_Apt_in_Elysium_tower_Isb_2025-11-05.jpg
apartment,2025-11-12,2025-11-14,LMY Elysium Tower - Skyviews Executive Apartments Facing Mountain & Centaurus Mall Islamabad,US$103,,7.0,Good,"Blue Area, Islamabad",https://cf.bstatic.com/xdata/images/hotel/square240/682174020.webp?k=d7a8e3852c6d9048036fb412ec7eb6a6a56f32fd10d28e31e7fac32262c8ce34&o=,images_apartment\LMY_Elysium_Tower_-_Skyviews_Executive_Apartments_Facing_Mountain___Centaurus_Mall_Islamabad_2025-11-12.jpg
apartment,2025-12-03,2025-12-05,I bedroom luxury furnished apartment near to grand masjid Bahria town,US$35,,9.0,Superb,Lahore,https://cf.bstatic.com/xdata/images/hotel/square240/617734496.webp?k=10fe5b835e6b5594f948a95f9648c476de45f65b5445d669c228025ab078fe07&o=,images_apartment\I_bedroom_luxury_furnished_apartment_near_to_grand_masjid_Bahria_town_2025-12-03.jpg
apartment,2025-12-03,2025-12-05,Bayak Burawai,US$54,,,,Dargai,https://cf.bstatic.com/xdata/images/hotel/square240/710691675.webp?k=f46502710dd69f28476933c1b83677770fa88cf7934a2574685e64e518b70869&o=,images_apartment\Bayak_Burawai_2025-12-03.jpg
apartment,2025-12-03,2025-12-05,One Constitution Avenue by SUPERHOST STAYS,US$145,,7.1,Good,Islamabad,https://cf.bstatic.com/xdata/images/hotel/square240/607630823.webp?k=0a1a8cf1706dd0329a311fa87edd43a9db0de73a573f6d5f2737ae916d1166e2&o=,images_apartment\One_Constitution_Avenue_by_SUPERHOST_STAYS_2025-12-03.jpg
apartment,2025-12-03,2025-12-05,Ramada by Wyndham Lahore Gulberg II,US$361,,8.8,Fabulous,"Gulberg, Lahore",https://cf.bstatic.com/xdata/images/hotel/square240/284362710.webp?k=b48a701f09a1ee2f0c4a456244643a6dbaa94e31d43baed5c679a4d8063ee93c&o=,images_apartment\Ramada_by_Wyndham_Lahore_Gulberg_II_2025-12-03.jpg
apartment,2025-12-10,2025-12-12,Elysium Tower Designer Apartments Facing Centaurus Mal Islamabad,US$115,,8.3,Very,"Blue Area, Islamabad",https://cf.bstatic.com/xdata/images/hotel/square240/700235966.webp?k=b90f1dc14cc831a5bbecf5443c04e87189b1ff504b2d6f1f9f3e97c40393d50b&o=,images_apartment\Elysium_Tower_Designer_Apartments_Facing_Centaurus_Mal_Islamabad_2025-12-10.jpg
apartment,2025-12-31,2026-01-02,"Navid's Holiday Resort and Hotel, Murree",US$175,,9.4,Superb,Ghora Gali,https://cf.bstatic.com/xdata/images/hotel/square240/476702060.webp?k=a3d4be285e4fc3ac8a8fcb8cdbbd6917ecdea2df936f6a45d25c8b7178d48bab&o=,images_apartment\Navid_s_Holiday_Resort_and_Hotel__Murree_2025-12-31.jpg
