City,Property Type,Name,Rating,Reviews Count,Location,Image URL,Image Path
Muzaffarabad,apartment,Moorti Heights Nathiagali,,,Nathia Gali,https://cf.bstatic.com/xdata/images/hotel/square240/729956281.webp?k=dd9534bf965d251a3b2c8ec060869e7d4d0e9215681e3d667efd40ee27cc1af1&o=,images_apartment\Moorti_Heights_Nathiagali.jpg
Muzaffarabad,apartment,Moorti Heights Nathia gali,,,Nathia Gali,https://cf.bstatic.com/xdata/images/hotel/square240/729885923.webp?k=43416fd21ede50d4bf345e641fd39d8eaa12355aca670b8743fd90111cdeace8&o=,images_apartment\Moorti_Heights_Nathia_gali.jpg
Muzaffarabad,apartment,Nathiya Gali Apartment,,,Abbottābād,https://cf.bstatic.com/xdata/images/hotel/square240/706381789.webp?k=d426951184f7a068cd2a05a7b9124ab5cd2994107b014b152b50c05bb109abd3&o=,images_apartment\Nathiya_Gali_Apartment.jpg
Muzaffarabad,apartment,FOG LAND GUEST HOUSE nathia gali kala bagh,2,2,Nathia Gali,https://cf.bstatic.com/xdata/images/hotel/square240/709595042.webp?k=fc8d1473bd3f1ce93bf932fa1872d57de3f33ea7c2b1334001cb397aa82d1e9e&o=,images_apartment\FOG_LAND_GUEST_HOUSE_nathia_gali_kala_bagh.jpg
Muzaffarabad,apartment,"Bismillah Apartments, Kala Bagh by LMC",6.1,6,Bāzār,https://cf.bstatic.com/xdata/images/hotel/square240/491857441.webp?k=b8b1ec684b32766670b4844e87772c4feb801f0fbfd966bd036dc933f5f7e2dd&o=,images_apartment\Bismillah_Apartments__Kala_Bagh_by_LMC.jpg
Muzaffarabad,apartment,Conifer hotels and resorts,,,Mahāndri,https://cf.bstatic.com/xdata/images/hotel/square240/695662351.webp?k=7bcaf063f22ec726617b1ab7e8321d4145356a2fce6a1aff8c377f4403459450&o=,images_apartment\Conifer_hotels_and_resorts.jpg
Muzaffarabad,apartment,Vine wood cotteg,,,Dunga Gali,https://cf.bstatic.com/xdata/images/hotel/square240/711226927.webp?k=b0fcdc9b67b03a42da8ab3fa5c3753d4198e321c5eaf779da7d459bdcc0a2e04&o=,images_apartment\Vine_wood_cotteg.jpg
Kasur,apartment,Crystal Heights,,,Lahore,https://cf.bstatic.com/xdata/images/hotel/square240/683897530.webp?k=9778076e0cbacfa90e1104783709779d98ed33b41fb6887bd2a65f1f27e9328d&o=,images_apartment\Crystal_Heights.jpg
Kasur,apartment,Al fazal Tower,5.9,5,Rāmkot,https://cf.bstatic.com/xdata/images/hotel/square240/528121954.webp?k=4f6ba008631b29b330c515679380a3e452e31cb7141bd82535f80eed75c0cde9&o=,images_apartment\Al_fazal_Tower.jpg
Kasur,apartment,4 Acre 3BHK Defence Raya Farmhouse,10,10,Lahore,https://cf.bstatic.com/xdata/images/hotel/square240/696975443.webp?k=55717be8110691fd86f61f9d32c2916b5f3460b56d95e364b5dddbc9b055e55d&o=,images_apartment\4_Acre_3BHK_Defence_Raya_Farmhouse.jpg
Kasur,apartment,Flat Apartment 1 & 2 Bed Guest Rooms near Bahria Town Orchard Raiwind Road Lahore independent OR Shared,8,8,Lahore,https://cf.bstatic.com/xdata/images/hotel/square240/671575914.webp?k=e4225c7483b0e6b998d68cecef3b3879d6660ee1d3542dbad9c70b5d7b7d1e71&o=,images_apartment\Flat_Apartment_1___2_Bed_Guest_Rooms_near_Bahria_Town_Orchard_Raiwind_Road_Lahore_independent_OR_Shared.jpg
Kasur,apartment,Khayaban-e-Amin Luxurious Apartments,,,Lahore,https://cf.bstatic.com/xdata/images/hotel/square240/541381815.webp?k=d9e836e68c9a914a6dd0ba7b623e2fe3ebf9ba499d65dd5c050d3243f32f2493&o=,images_apartment\Khayaban-e-Amin_Luxurious_Apartments.jpg
Kasur,apartment,Al Rehman Estate orchard,,,Lahore,https://cf.bstatic.com/xdata/images/hotel/square240/726829836.webp?k=a44d8eb60c4e881852ea1459686393341265e6e05c019d10c86e94fb0ea22758&o=,images_apartment\Al_Rehman_Estate_orchard.jpg
Kasur,apartment,Bedian Flats,,,Lahore,https://cf.bstatic.com/xdata/images/hotel/square240/636509131.webp?k=486904e7f66e69ad4649b2eef865eab597045d90b253254e54ac5b7c47bfd8cb&o=,images_apartment\Bedian_Flats.jpg
Kasur,apartment,Bahria eiffel apartments,,,Lahore,https://cf.bstatic.com/xdata/images/hotel/square240/728917559.webp?k=152fbdff73f76f54cd320ae161eac617bbb6c044549cc9c758e9d7ad0256c808&o=,images_apartment\Bahria_eiffel_apartments.jpg
Kasur,apartment,Penta Square Luxury Serviced Apartments - DHA Phase 5 Lahore,,,Lahore,https://cf.bstatic.com/xdata/images/hotel/square240/729906607.webp?k=9a4dd9fc6b0f8023cd381cdb27ce9e2c03021f327b7752a2ab9ea74fb80d37e3&o=,images_apartment\Penta_Square_Luxury_Serviced_Apartments_-_DHA_Phase_5_Lahore.jpg
Kasur,apartment,"The Crown 623-Apartment, Gold Crest Mall DHA phase 4",,,Lahore,https://cf.bstatic.com/xdata/images/hotel/square240/729274458.webp?k=082898eeb1fa37fd3831bde37cb7fd5d23817270c1d4487f4b8fa63cc410236d&o=,images_apartment\The_Crown_623-Apartment__Gold_Crest_Mall_DHA_phase_4.jpg
Kasur,apartment,Mahmed retreat,10,10,Lahore,https://cf.bstatic.com/xdata/images/hotel/square240/672072512.webp?k=8de6ac33cf8f5d2e26df08dd50a05ee510bf8a8406f2bb5d87e9a1ca9b0cdf3b&o=,images_apartment\Mahmed_retreat.jpg
Kasur,apartment,Stylish Luxury Apartments in Gold Crest With Shopping Mall by HBA,10,10,Lahore,https://cf.bstatic.com/xdata/images/hotel/square240/663121218.webp?k=4f7a87d9e4d7f5a0417c8e6b917dc37f8934bef80274142f1b9e56eaff98f917&o=,images_apartment\Stylish_Luxury_Apartments_in_Gold_Crest_With_Shopping_Mall_by_HBA.jpg
Kasur,apartment,Your Ultimate Living Experience in Gold Crest Apartments by HBA,1,1,Lahore,https://cf.bstatic.com/xdata/images/hotel/square240/661524754.webp?k=40f642584fc59500b7fdd687dd4218b145476b7d2f699e53f572a8dea536d0e2&o=,images_apartment\Your_Ultimate_Living_Experience_in_Gold_Crest_Apartments_by_HBA.jpg
Kasur,apartment,Wonderful Luxury Gold Crest Mall Apartments by HBA,,,Lahore,https://cf.bstatic.com/xdata/images/hotel/square240/686163974.webp?k=dbf664839265c5b7cf0cd3cfde1c4e4e34b7b7f017a60866da673df526d5e3bb&o=,images_apartment\Wonderful_Luxury_Gold_Crest_Mall_Apartments_by_HBA.jpg
Kasur,apartment,Your Dream Home Awaits in Gold Crest Mall,,,Lahore,https://cf.bstatic.com/xdata/images/hotel/square240/675935822.webp?k=363b6c08b1b45b6038f3a94e782f934a6f17601ca35b0b3e8ecc90c6ab211438&o=,images_apartment\Your_Dream_Home_Awaits_in_Gold_Crest_Mall.jpg
Kasur,apartment,Everything You Need All Right Here in Gold Crest by HBA,,,Lahore,https://cf.bstatic.com/xdata/images/hotel/square240/676950544.webp?k=8195a84dccff5851ed6c30530cd444481a6a61fae8f1152708054dc3b302f04e&o=,images_apartment\Everything_You_Need_All_Right_Here_in_Gold_Crest_by_HBA.jpg
Kasur,apartment,Eiffel Escape,,,Lahore,https://cf.bstatic.com/xdata/images/hotel/square240/728887059.webp?k=6148b9c721fa924a23e35d41f826a8e44774d9e898e4692c6efb5f23afab4be7&o=,images_apartment\Eiffel_Escape.jpg
Kasur,apartment,Eiffel View 1BHK Cozy Apartment,,,Lahore,https://cf.bstatic.com/xdata/images/hotel/square240/728814707.webp?k=10b817fd75fb3ea6d0f362ac80e67067a74d4b9384637d7c19eba68b2d36cbec&o=,images_apartment\Eiffel_View_1BHK_Cozy_Apartment.jpg
Kasur,apartment,PRESIDENTIAL SUITE By ALVIS SUITE - GOLDCREST MALL AND RESIDENCY,,,Lahore,https://cf.bstatic.com/xdata/images/hotel/square240/728378414.webp?k=9b72522943ef98b1b12418746194fc652c0a69408577b37c65838c855a754e17&o=,images_apartment\PRESIDENTIAL_SUITE_By_ALVIS_SUITE_-_GOLDCREST_MALL_AND_RESIDENCY.jpg
Kasur,apartment,Goldcrest Mall and Residency - Presidential One-Bed Suite By Alvis Suite,,,Lahore,https://cf.bstatic.com/xdata/images/hotel/square240/728375647.webp?k=305be94db28bfa739dede5e1e0431ecc39daab8a99c3a00a34c6709b3f9b265e&o=,images_apartment\Goldcrest_Mall_and_Residency_-_Presidential_One-Bed_Suite_By_Alvis_Suite.jpg
